,COIN,PRICE,1H,24H,7D,24 H VOLUME ,MKT CAP,CIRCULATING SUPPLY,ATH,ATL,TRADING VOLUME,INITIAL RICE ($)
835,0chain ZCN ZCN,$0.441229,-1.1%,8.7%,-8.1%,"$134,900","$21,674,419",0 ZCH,$0.01,$0.00,0.00 ZCH,0.6165
116,0x ZRX ZRX,$0.845779,0.005,-0.017,-0.212,"$241,687,156","$715,921,393","847,496,055 ZRX",$2.53,$0.10,"1,000,000,000ZRX",0.3515
148,1inch 1INCH 1INCH,$1.34,0.013,0.015,-0.13,"$50,773,653","$555,042,941","415,048,443 1INCH",$7.87,$0.76,"1,500,000,000 1INCH",1.59
797,3X Long Ethereum Token ETHBULL ETHBULL,$220.80,0.5%,12.1%,-12.9%,"$1,140,777","$24,905,714",,"$29,749.31",$33.70,"2,688.7 ETHBULL","4,037"
857,88mph MPH MPH,$15.96,-2.2%,6.8%,-14.6%,"$476,364","$20,150,109","465,279 MPH",$229.90,$5.98,"485,535.65 MPH",85.16
858,AAG Ventures AAG AAG,$0.077341701592,1.4%,4.1%,-10.5%,"$67,286.07","$20,096,285","257,312,164 AAG",$0.45,$0.03,"1,000,000,000 AAG",0.3247
54,Aave AAVE AAVE,$169.68,0.014,-0.018,-0.09,"$348,116,674","$2,334,065,794","13,713,285 AAVE",$666.86,$0,"16,000,000 AAVE",42.2
384,Aavegotchi GHST GHST,$1.89,-0.2%,1.3%,-1.1%,"$18,462,456","$113,143,153","54,718,491 GHST",$3.25,$0.42,"56,482,654.82 GHST",0.57
171,Acala ACA ACA,$1.15,0.008,0.029,-0.212,"$19,745,590","$428,438,424","408,473,590 ACA",$0.21,$0.00,"100,000,000 ACA",0.42
822,Adappter Token ADP ADP,$0.029732696711,0.5%,5.4%,-7.4%,"$963,034","$22,854,810","771,516,407 ADP",$0.16,$0.01,"4,960,497,045 ADP",0.021
379,Adshares ADS ADS,$4.55,0.4%,2.3%,-4.0%,"$3,497,182","$114,432,983","26,284,179 ADS","$1,548.86",$0.00,"38,758,206 ADS",0.1373
462,Adventure Gold AGLD AGLD,$1.05,0.5%,5.0%,-27.1%,"$20,224,729","$80,722,911","70,170,001 AGLD",$7.63,$0.36,"70,170,001 AGLD",3.89
436,Aergo AERGO AERGO,$0.240510,-0.3%,2.9%,-1.4%,"$28,048,176","$88,150,082",,$0.00,$0.00,"100,000,000,000 AERO",0.1134
654,Aeternity AE AE,$0.104648,0.011,0.056,-0.029,"$6,345,976","$41,734,806","354,479,013 AE",$5.86,$0.05,"400,299,956.5 AE",1.3348
655,Aion AION AION,$0.082225204668,0.003,0.004,-0.099,"$2,923,221","$41,420,206","501,505,081 AION",$11.51,$0.02,"501,505,081 AION",1.2091
413,AIOZ Network AIOZ AIOZ,$0.174828,-1.0%,6.6%,-11.6%,"$772,628","$96,722,351","553,434,805 AIOZ",$2.67,$0.06,"1,000,000,000 AIOZ",1.8741
817,AirSwap AST AST,$0.134769,-0.1%,-0.1%,-9.6%,"$193,210","$23,225,118","150,000,000 AST",$2.08,$0.01,"500,000,000 AST",0.2644
